MGI.symbol	HGNC.symbol
Cyp4a31	CYP4A11
Cyp4a31	CYP4A22
Cyp4a31	CYP4F12
Alg6	ALG6
Try10	PRSS3
Pccb	PCCB
Asl	ASL
Slc25a37	SLC25A37
Zbtb38	ZBTB38
Sema3b	SEMA3B
Defb12	DEFB105B
Ccnd2	CCND2
Olfr1354	OR7A5
Olfr1354	OR7A10
Olfr1354	OR7A17
P4htm	P4HTM
Sntn	SNTN
Ccdc177	CCDC177
Gm5771	PRSS3
Nmur2	NMUR2
Fndc7	FNDC7
Sgf29	SGF29
Ndufa6	NDUFA6
Galr2	GALR2
Fgf9	FGF9
Mink1	MINK1
Sbpl	ZG16B
Vegfd	VEGFD
Trim69	TRIM69
Tgm6	TGM6
Shoc2	SHOC2
Ces1d	CES1
Helz	HELZ
Tap1	TAP1
Btg3	BTG3
Ablim2	ABLIM2
Fry	FRY
Zpbp2	ZPBP2
Hephl1	HEPHL1
Mafk	MAFK
Ankk1	ANKK1
Cstf2t	CSTF2T
Gpr27	GPR27
Psmc5	PSMC5
Zfp426	ZNF426
Mamstr	MAMSTR
Dbx2	DBX2
Zap70	ZAP70
Parp14	PARP14
Tnnt3	TNNT3
Asb11	ASB11
Uhrf1	UHRF1
Scml4	SCML4
Tubgcp4	TUBGCP4
Ccdc169	CCDC169
Smdt1	SMDT1
Chrnb3	CHRNB3
Samd3	SAMD3
Crip3	CRIP3
Fam209	FAM209B
Slc17a3	SLC17A3
Slc39a12	SLC39A12
Cacnb1	CACNB1
Rab14	RAB14
Ccna2	CCNA2
Vgll4	VGLL4
Slc30a6	SLC30A6
Trim2	TRIM2
Cyp2a12	CYP2A7
Cyp2a12	CYP2A6
Hps1	HPS1
Acot11	ACOT11
Rab42	RAB42
Zmat2	ZMAT2
C1qb	C1QB
Efr3b	EFR3B
Ccdc130	CCDC130
Defb34	DEFB104B
Pkd2	PKD2
Cyp4a32	CYP4A11
Cyp4a32	CYP4A22
Cyp4a32	CYP4F12
Irak4	IRAK4
Crtc1	CRTC1
Smap2	SMAP2
Dnah9	DNAH9
Cul9	CUL9
Zfp82	ZFP82
Ftsj3	FTSJ3
Dennd1c	DENND1C
Car13	CA13
Mta3	MTA3
Trav7d-2	TRAV12-1
Trav7d-2	TRAV12-2
Trav7d-2	TRAV12-3
Shisa7	SHISA7
Proz	PROZ
Gpr162	GPR162
Foxred2	FOXRED2
Sspn	SSPN
1700037C18Rik	C16orf90
Sept8	SEPT8
Taf4b	TAF4B
Vpreb2	VPREB1
Nr2f6	NR2F6
Mchr1	MCHR1
Ldlrad1	LDLRAD1
Qser1	QSER1
Rsph6a	RSPH6A
Ctsh	CTSH
Tmprss11f	TMPRSS11F
Chmp4b	CHMP4B
Vav3	VAV3
Dnah1	DNAH1
B3galnt1	B3GALNT1
Dnd1	DND1
Olfr749	OR11H4
Mrps30	MRPS30
Klk12	KLK12
Plekhm2	PLEKHM2
Mmp7	MMP7
Atg4c	ATG4C
Urgcp	URGCP
Vav1	VAV1
Vangl1	VANGL1
Lipc	LIPC
Parp3	PARP3
Hpse2	HPSE2
4930578C19Rik	DIPK2B
Vegfa	VEGFA
D6Wsu163e	C12orf4
Casp14	CASP14
Olfr8	OR7A5
Olfr8	OR7A10
Olfr8	OR7A17
Scamp2	SCAMP2
Sox17	SOX17
Rbm46	RBM46
Cdcp2	CDCP2
Ipmk	IPMK
Nox3	NOX3
Grm1	GRM1
Edn3	EDN3
Fbxw5	FBXW5
Zdhhc4	ZDHHC4
Ppp1r15a	PPP1R15A
Plagl2	PLAGL2
Fgf3	FGF3
Pth2r	PTH2R
Trav3-3	TRAV5
Pdilt	PDILT
Trnt1	TRNT1
Cylc2	CYLC2
Elp4	ELP4
Pla2g4e	PLA2G4E
Rab3b	RAB3B
Aqp4	AQP4
Rbm20	RBM20
Stx18	STX18
Bbof1	BBOF1
Lman1	LMAN1
Nudcd3	NUDCD3
Il11	IL11
Bid	BID
Sub1	SUB1
Lmln	LMLN
Sidt2	SIDT2
Ly6g6c	LY6G6C
Rcan1	RCAN1
Fgf23	FGF23
Spag1	SPAG1
H2-Ob	HLA-DOB
Fbxo24	FBXO24
Hmbox1	HMBOX1
Platr17	SMIM40
Slc12a1	SLC12A1
Ttc23l	TTC23L
Nkg7	NKG7
Mamdc2	MAMDC2
Stk35	STK35
Plin1	PLIN1
Zfp41	ZFP41
Ppfia1	PPFIA1
Mrm2	MRM2
Dzip1	DZIP1
Erbb2	ERBB2
Btbd9	BTBD9
Olfr729	OR4K5
Paip1	PAIP1
Hs6st3	HS6ST3
Igsf6	IGSF6
Btnl2	BTNL2
Cks2	CKS2
Tigar	TIGAR
Ncoa2	NCOA2
Trav6-4	TRAV9-2
Prnp	PRNP
Itpa	ITPA
Taar5	TAAR5
Slc7a6	SLC7A6
Zwint	ZWINT
Wdr82	WDR82
Zfp597	ZNF597
Uvrag	UVRAG
Cenph	CENPH
Mrgpra9	MRGPRX3
Mrgpra9	MRGPRX4
Pcif1	PCIF1
Sall2	SALL2
Plekha4	PLEKHA4
March1	MARCH1
Lrfn5	LRFN5
Dirc2	SLC49A4
Pde2a	PDE2A
Arl9	ARL9
Sdhaf2	SDHAF2
Nipa2	NIPA2
Dusp15	DUSP15
Tln1	TLN1
Ikzf3	IKZF3
Ubtfl1	UBTFL1
Pax2	PAX2
Flrt2	FLRT2
Ranbp17	RANBP17
Slc41a3	SLC41A3
Sigirr	SIGIRR
B3gnt5	B3GNT5
Spink14	SPINK14
A26c2	POTEG
A26c2	POTEA
Rnf170	RNF170
Nicn1	NICN1
Ndufs7	NDUFS7
Ldb3	LDB3
Cfl2	CFL2
Mras	MRAS
Lgi2	LGI2
Trav9-4	TRAV8-1
Trav9-4	TRAV8-3
Lrp10	LRP10
Itpr2	ITPR2
Shroom1	SHROOM1
2310057J18Rik	C6orf58
Calhm2	CALHM2
Rabgap1	RABGAP1
Mmel1	MMEL1
Zfp382	ZNF382
Cspp1	CSPP1
Focad	FOCAD
Rab11fip4	RAB11FIP4
Coro2a	CORO2A
Hspb7	HSPB7
Trav12-1	TRAV18
Kansl1	KANSL1
Cstf2	CSTF2
Tprg	TPRG1
Olfr745	OR11H6
Sgms1	SGMS1
Pisd	PISD
Ankrd26	ANKRD62
Mast3	MAST3
Pgap2	PGAP2
Lasp1	LASP1
St8sia3	ST8SIA3
Impa1	IMPA1
Ttpa	TTPA
Hist1h2bb	HIST1H2BM
Slfn4	SLFN12
Slfn4	SLFN12L
1110008L16Rik	KIAA0391
Camta1	CAMTA1
Actrt2	ACTRT2
Papolg	PAPOLG
Phka2	PHKA2
Actr3	ACTR3
Caprin1	CAPRIN1
Defa23	DEFA6
Defa23	DEFA5
Dusp14	DUSP14
Slc1a3	SLC1A3
Cldn14	CLDN14
Sycp1	SYCP1
4931406B18Rik	SIGLECL1
Trav23	TRAV39
Urb1	URB1
Bmpr1a	BMPR1A
Zar1l	ZAR1L
Hist1h3g	HIST1H3I
Klhl26	KLHL26
Tubb1	TUBB1
Mcc	MCC
Mrpl52	MRPL52
Glra1	GLRA1
Nfx1	NFX1
Srsf5	SRSF5
Cpsf7	CPSF7
Zfp260	ZNF260
Msl2	MSL2
Vwa3b	VWA3B
Maz	MAZ
Hfe	HFE
Nfib	NFIB
Them6	THEM6
Nme5	NME5
Lingo1	LINGO1
Bax	BAX
Efs	EFS
Paqr4	PAQR4
Ptcra	PTCRA
Rcn1	RCN1
Taf12	TAF12
Crbn	CRBN
Cdh9	CDH9
Ifna9	IFNA21
Ifna9	IFNA4
Slc39a3	SLC39A3
Stk32b	STK32B
Slc25a17	SLC25A17
Foxs1	FOXS1
Arhgap42	ARHGAP42
Hsd17b14	HSD17B14
Tmem129	TMEM129
Pfn3	PFN3
Mx1	MX1
Swi5	SWI5
Gm5244	RPLP1
Chsy1	CHSY1
Sik1	SIK1B
Ntng1	NTNG1
Gmeb1	GMEB1
Rab1a	RAB1A
Casr	CASR
Eif3d	EIF3D
Bhlha9	BHLHA9
Fam187a	FAM187A
Npm2	NPM2
Psma4	PSMA4
Syvn1	SYVN1
Pla2g4b	PLA2G4B
Pla2g4b	JMJD7-PLA2G4B
Egr1	EGR1
Gm94	C5orf46
Bsdc1	BSDC1
Mrpl43	MRPL43
Pex1	PEX1
Chordc1	CHORDC1
Prr14l	PRR14L
Opn5	OPN5
Car2	CA2
Ntn5	NTN5
Eif3m	EIF3M
Thoc2	THOC2
Ccdc187	CCDC187
Tmem181a	TMEM181
Gpr156	GPR156
Fer	FER
Synrg	SYNRG
Cox5a	COX5A
Ttc34	TTC34
Otud1	OTUD1
Sgpp1	SGPP1
Apol9b	APOL3
Apol9b	APOL4
Apol9b	APOL2
Apol9b	APOL1
Qrfpr	QRFPR
Keap1	KEAP1
Zfp146	ZNF146
Myo19	MYO19
Tm4sf5	TM4SF5
Ripply2	RIPPLY2
Ndc80	NDC80
Tnfaip8l1	TNFAIP8L1
Trim14	TRIM14
Clu	CLU
Ttc3	TTC3
Plet1	PLET1
Art5	ART5
Hist1h1c	HIST1H1C
Tmc2	TMC2
Wdr55	WDR55
Parp11	PARP11
Zfp558	ZNF557
Olfr13	OR2A4
Matk	MATK
Mtf2	MTF2
Minos1	MICOS10
Nkapl	NKAPL
Olfr1508	OR4E1
Cyp4a30b	CYP4A11
Cyp4a30b	CYP4A22
Cyp4a30b	CYP4F12
Lrrc73	LRRC73
Mrgpra4	MRGPRX3
Mrgpra4	MRGPRX4
Bco2	BCO2
Xkr7	XKR7
Mrpl54	MRPL54
Slfn9	SLFN13
Nelfcd	NELFCD
Tmem110	TMEM110-MUSTN1
Tmem110	STIMATE
Isg20	ISG20
Plxdc2	PLXDC2
Vat1	VAT1
Mrgpra2a	MRGPRX3
Mrgpra2a	MRGPRX4
Tmsb10	TMSB10
Dyx1c1	DNAAF4
Map1s	MAP1S
Lsm6	LSM6
Ankrd12	ANKRD12
Nfkbia	NFKBIA
Surf1	SURF1
Nadk2	NADK2
Tmem95	TMEM95
Asb9	ASB9
Tac4	TAC4
Rel	REL
Rock2	ROCK2
Tube1	TUBE1
Gsap	GSAP
Sema6d	SEMA6D
Ptp4a2	PTP4A2
Etfb	ETFB
Nell2	NELL2
Olfr1513	OR10G3
Pnliprp1	PNLIPRP1
Coa4	COA4
Atp6v1g1	ATP6V1G1
Rara	RARA
Txndc17	TXNDC17
Fam214b	FAM214B
Zbtb8a	ZBTB8A
Nmb	NMB
7420426K07Rik	PRR23D1
Lsamp	LSAMP
Acot3	ACOT1
Acot3	ACOT2
1700001P01Rik	C17orf98
Got1	GOT1
Garnl3	GARNL3
Zfp280b	ZNF280B
Polr1c	POLR1C
Fyb	FYB1
Bmx	BMX
Kat2b	KAT2B
Icam5	ICAM5
Dok2	DOK2
Kat5	KAT5
Ephx2	EPHX2
Msmo1	MSMO1
Cnga3	CNGA3
Pfkfb3	PFKFB3
Olfr1511	OR10G2
Pde8b	PDE8B
Papss2	PAPSS2
Ccdc191	CCDC191
Ccdc122	CCDC122
C130060K24Rik	QRFPR
Nlrc3	NLRC3
Tle6	TLE6
Casc3	CASC3
Ccdc50	CCDC50
Ralgps1	RALGPS1
Spert	SPERT
Fkrp	FKRP
Cdca8	CDCA8
Ift172	IFT172
Lacc1	LACC1
Cysrt1	CYSRT1
Pdlim7	PDLIM7
Mapkapk3	MAPKAPK3
Nat1	NAT1
Reep2	REEP2
Gnptg	GNPTG
Trgv2	TRGC1
Atp11b	ATP11B
Kif26a	KIF26A
Slc35b3	SLC35B3
Kif23	KIF23
Map3k15	MAP3K15
Acot2	ACOT1
Acot2	ACOT2
Sirpb1a	SIRPA
Alg1	ALG1L
Susd5	SUSD5
Nat3	NAT1
Fbxl19	FBXL19
Nkiras1	NKIRAS1
Lrig1	LRIG1
Rab30	RAB30
4930544D05Rik	C17orf107
Fadd	FADD
Ccdc58	CCDC58
1700020L24Rik	C17orf50
Adra1d	ADRA1D
Hars2	HARS2
Tmigd1	TMIGD1
Gm28035	LRRC8A
Taf5	TAF5
Cyp2a22	CYP2A7
Cyp2a22	CYP2A6
Tmem82	TMEM82
Gap43	GAP43
Gm20521	BCL2L2-PABPN1
2300009A05Rik	C15orf61
Diras1	DIRAS1
Aqp9	AQP9
Dpp10	DPP10
Gbp2	GBP2
Tmem184a	TMEM184A
Map2	MAP2
Serpinb6b	SERPINB6
Stoml3	STOML3
Slc22a17	SLC22A17
Kcnj14	KCNJ14
Crabp1	CRABP1
Gtsf1l	GTSF1L
Cdh26	CDH26
Spem1	SPEM1
Spag11b	SPAG11B
Pdcl	PDCL
Naif1	NAIF1
Srprb	SRPRB
4430402I18Rik	SPATA6L
Zfp518b	ZNF518B
Kcng2	KCNG2
Smcr8	SMCR8
Cisd1	CISD1
Gm45233	ETFB
Rmdn3	RMDN3
Fastkd3	FASTKD3
Cox17	COX17
Ifnb1	IFNB1
Ywhae	YWHAE
Hemgn	HEMGN
Zfp316	ZNF316
Olfr679	OR56A3
Brwd1	BRWD1
P3h3	P3H3
Fam102b	FAM102B
Fiz1	FIZ1
B2m	B2M
Gm27717	LINC00901
Aldh3a2	ALDH3A2
Map3k7	MAP3K7
Paip2b	PAIP2B
Hspa13	HSPA13
Cxcl14	CXCL14
Atp13a2	ATP13A2
Gstt4	GSTT4
Hdac3	HDAC3
Olfr726	OR4K15
Actbl2	ACTBL2
Ankrd27	ANKRD27
Zfpm2	ZFPM2
Lrch4	LRCH4
Rab6b	RAB6B
Insc	INSC
Rpp25	RPP25
BC005624	C9orf78
Ltf	LTF
Cd33	CD33
Ttbk1	TTBK1
Slc13a5	SLC13A5
Nol11	NOL11
D17H6S53E	C6orf47
Raet1d	RAET1E
Adam7	ADAM7
Slc29a4	SLC29A4
Uncx	UNCX
Ndfip1	NDFIP1
Xpo5	XPO5
Ptges	PTGES
Apol10b	APOL3
Apol10b	APOL4
Apol10b	APOL2
Apol10b	APOL1
Zfyve19	ZFYVE19
Uck1	UCK1
St5	ST5
Slc22a5	SLC22A5
Nkain4	NKAIN4
Orai3	ORAI3
Dab2	DAB2
H2-DMb2	HLA-DMB
Ctsb	CTSB
Cdh10	CDH10
Ing1	ING1
Srp54a	SRP54
Tll1	TLL1
Zfp607a	ZNF780A
Gpr176	GPR176
Slc13a3	SLC13A3
Exph5	EXPH5
Gbp10	GBP6
Pabpc5	PABPC5
Ccdc106	CCDC106
Tdrkh	TDRKH
Dlk2	DLK2
Rnf224	RNF224
Tenm1	TENM1
Zfp574	ZNF574
G6pc3	G6PC3
Pitx1	PITX1
Tusc2	TUSC2
Zbtb8os	ZBTB8OS
Bace1	BACE1
Spatc1	SPATC1
Arhgap6	ARHGAP6
Entpd8	ENTPD8
Nupr1	NUPR1
Aen	AEN
Hmgcll1	HMGCLL1
Sowaha	SOWAHA
Olfr353	OR1N1
Ppp1r14d	PPP1R14D
Xpo7	XPO7
Saal1	SAAL1
Eftud2	EFTUD2
Nags	NAGS
Fndc3a	FNDC3A
Cdk5r1	CDK5R1
Uqcrh	UQCRHL
Smox	SMOX
Trav13d-4	TRAV22
Iqcf1	IQCF1
Dcaf7	DCAF7
Tmem256	TMEM256
Tmem256	TMEM256-PLSCR3
Primpol	PRIMPOL
Ndufaf3	NDUFAF3
Pyroxd2	PYROXD2
Nkx3-1	NKX3-1
B3galt2	B3GALT2
4930524B15Rik	C5orf47
Prph2	PRPH2
Hgsnat	HGSNAT
Osbpl11	OSBPL11
Uba7	UBA7
Col20a1	COL20A1
Kdelr1	KDELR1
Gjd3	GJD3
Dnajc3	DNAJC3
Impa2	IMPA2
Ppp4r1	PPP4R1
Egln2	EGLN2
Fancc	FANCC
Sox21	SOX21
Gc	GC
Tmem211	TMEM211
Icosl	ICOSLG
Alpl	ALPL
Topbp1	TOPBP1
Dalrd3	DALRD3
Ccm2l	CCM2L
Cldn4	CLDN4
Pyy	PYY
Zfp24	ZNF24
Tbx4	TBX4
Nat2	NAT1
5730480H06Rik	PACRGL
Setdb2	SETDB2
Far1	FAR1
Zbtb17	ZBTB17
Cd4	CD4
Lif	LIF
Diaph3	DIAPH3
Myh7	MYH7
Dnase1l3	DNASE1L3
Acot5	ACOT1
Acot5	ACOT2
Abca6	ABCA6
Rras2	RRAS2
Crtap	CRTAP
Dcun1d1	DCUN1D1
Pdlim4	PDLIM4
Tnfrsf19	TNFRSF19
Crip1	CRIP1
Lmntd1	LMNTD1
Sugp2	SUGP2
Pex10	PEX10
Mettl24	METTL24
Msh6	MSH6
Olfr221	OR5AU1
Fgb	FGB
Zfp784	ZNF784
Ifna7	IFNA21
Ifna7	IFNA4
Spata7	SPATA7
Slc11a2	SLC11A2
Defa35	DEFA6
Defa35	DEFA5
Ep300	EP300
Azi2	AZI2
1700001L19Rik	C5orf49
Mdn1	MDN1
Slc5a3	SLC5A3
Chrna9	CHRNA9
Brd8	BRD8
Stxbp3	STXBP3
Rfwd3	RFWD3
Mis18a	MIS18A
Trappc6b	TRAPPC6B
Abcc4	ABCC4
Ube2e1	UBE2E1
Cox7a1	COX7A1
BC024978	C19orf54
Cplx1	CPLX1
Zfp512	ZNF512
Gnpda1	GNPDA1
Notch1	NOTCH1
Gfap	GFAP
Adsl	ADSL
Gpank1	GPANK1
Prmt6	PRMT6
Serpinb6e	SERPINB6
Tmtc1	TMTC1
Fgg	FGG
Zdhhc23	ZDHHC23
Rab27a	RAB27A
Cep164	CEP164
Mavs	MAVS
Fam129c	FAM129C
Rpusd1	RPUSD1
Gipc3	GIPC3
Cpe	CPE
Lysmd2	LYSMD2
Zfp334	ZNF334
D10Jhu81e	GATD3A
Svep1	SVEP1
Slc1a5	SLC1A5
Ccdc61	CCDC61
Iglon5	IGLON5
Pde6c	PDE6C
Itih4	ITIH4
Ugt2a3	UGT2A3
Hyal3	HYAL3
Zg16	ZG16
Gm42742	PAGR1
Glce	GLCE
Akt2	AKT2
Tcrg-C2	TRGC1
Tekt3	TEKT3
Atp1a3	ATP1A3
Rpn2	RPN2
Xpa	XPA
Slc9b2	SLC9B2
Timm50	TIMM50
Mylk2	MYLK2
Cap2	CAP2
Chd4	CHD4
Akr7a5	AKR7L
Cd74	CD74
Dcaf5	DCAF5
Slc25a24	SLC25A24
Prdm13	PRDM13
Heatr9	HEATR9
Slc2a10	SLC2A10
D8Ertd738e	C19orf53
Diaph2	DIAPH2
Uba3	UBA3
Olfr688	OR56B4
Bcl2l2	BCL2L2
Gnrhr	GNRHR
Gbp9	GBP6
Oxt	OXT
Ppip5k2	PPIP5K2
Trbv20	TRBV20OR9-2
Smc5	SMC5
Myh6	MYH6
Ube2k	UBE2K
Itpr1	ITPR1
Ifrd2	IFRD2
Hp1bp3	HP1BP3
Best2	BEST2
Ms4a6c	MS4A6A
Ms4a6c	MS4A6E
Ly6d	LY6D
Pdrg1	PDRG1
Dchs2	DCHS2
Ncapd2	NCAPD2
Scel	SCEL
Rpl23	RPL23
Hacd1	HACD1
Lta	LTA
Dnajc12	DNAJC12
Anapc2	ANAPC2
Ly6g5c	LY6G5C
Igsf11	IGSF11
Patz1	PATZ1
Adam28	ADAM28
Gnai2	GNAI2
Arhgap17	ARHGAP17
Cpd	CPD
Ifna11	IFNA21
Ifna11	IFNA4
Cdv3	CDV3
Ccdc125	CCDC125
Ddx56	DDX56
Robo1	ROBO1
Rbm15b	RBM15B
Chmp5	CHMP5
Olfr3	OR1J1
Slc17a9	SLC17A9
Parp2	PARP2
Ift52	IFT52
Crhbp	CRHBP
Mad1l1	MAD1L1
Stmn4	STMN4
4931440F15Rik	FEM1A
Amd1	AMD1
Gm20425	TF
Bhlhe22	BHLHE22
Hist1h4c	HIST2H4A
Trav7-6	TRAV12-1
Trav7-6	TRAV12-2
Trav7-6	TRAV12-3
Klhl4	KLHL4
4932415D10Rik	C2orf16
Tal1	TAL1
Pde6b	PDE6B
Wdfy4	WDFY4
Tacc3	TACC3
Eogt	EOGT
Gh	CSH2
Zfy2	ZNF480
Zfy2	ZNF610
Zfy2	ZNF418
Zfy2	ZNF256
Zfy2	ZNF561
Zfy2	ZNF562
Pla2g4f	PLA2G4F
Med14	MED14
Camk1	CAMK1
Ccdc103	CCDC103
Sepsecs	SEPSECS
Calcb	CALCB
Spon2	SPON2
Odf1	ODF1
Wdr6	WDR6
Coq6	COQ6
Sh3pxd2a	SH3PXD2A
Nova2	NOVA2
Sap25	SAP25
Wwp1	WWP1
Rnf19a	RNF19A
Gm28043	RNF8
Slc1a1	SLC1A1
Tmem101	TMEM101
Nhlh2	NHLH2
Mrps24	MRPS24
Myh3	MYH3
Stat3	STAT3
Mecr	MECR
Fam13c	FAM13C
Pqlc3	PQLC3
Pik3cb	PIK3CB
Hs3st4	HS3ST4
Fancb	FANCB
Cat	CAT
Rfk	RFK
Ace	ACE
Oosp1	OOSP1
Psma1	PSMA1
Cisd2	CISD2
Ppp1r32	PPP1R32
Nans	NANS
Pkn3	PKN3
Prss33	PRSS33
Mybl2	MYBL2
Endog	ENDOG
Six3	SIX3
Med11	MED11
Casp8ap2	CASP8AP2
Rab23	RAB23
Atrip	ATRIP
Capzb	CAPZB
Rexo1	REXO1
Ston2	STON2
Rtp3	RTP3
Srp72	SRP72
Limd2	LIMD2
Arpc3	ARPC3
Dsg1a	DSG1
Msx2	MSX2
Enam	ENAM
Chst1	CHST1
Arhgap21	ARHGAP21
Ctf1	CTF1
Npr2	NPR2
Gm11808	UBA52
Chrm5	CHRM5
Mrgpra3	MRGPRX3
Mrgpra3	MRGPRX4
Cabp7	CABP7
Setd6	SETD6
Pip5k1c	PIP5K1C
Mphosph10	MPHOSPH10
Dock2	DOCK2
Extl3	EXTL3
Comp	COMP
Herc4	HERC4
Actl10	ACTL10
Gabbr2	GABBR2
Yes1	YES1
Gmnc	GMNC
Camkmt	CAMKMT
Jak3	JAK3
Col6a1	COL6A1
Itgb1bp2	ITGB1BP2
Snx4	SNX4
Mterf3	MTERF3
Msl3l2	MSL3
Gapvd1	GAPVD1
Furin	FURIN
Ifna15	IFNA21
Ifna15	IFNA4
Dhx15	DHX15
Wdr35	WDR35
Fbxo33	FBXO33
Psmb8	PSMB8
Eif4e3	EIF4E3
Snx6	SNX6
AY761184	DEFA6
AY761184	DEFA5
Cyp4x1	CYP4X1
Zfp831	ZNF831
Olfr1359	OR2B2
Pigb	PIGB
2900092C05Rik	C19orf18
Cox5b	COX5B
Rnd2	RND2
Vkorc1l1	VKORC1L1
Klk9	KLK9
Slc25a16	SLC25A16
Lrrc8a	LRRC8A
Ddi2	RSC1A1
Ambn	AMBN
Strbp	STRBP
Dhrs2	DHRS2
Smc3	SMC3
Ino80c	INO80C
Wdr48	WDR48
Phpt1	PHPT1
Cacng4	CACNG4
Stag1	STAG1
Kcnf1	KCNF1
Pcgf3	PCGF3
Adamts3	ADAMTS3
Srf	SRF
Rnf157	RNF157
Cldnd2	CLDND2
Ntm	NTM
Nr2e1	NR2E1
Myadm	MYADM
Gart	GART
Akr1b10	AKR1B10
Utp6	UTP6
Trav7-1	TRAV12-1
Trav7-1	TRAV12-2
Trav7-1	TRAV12-3
Dnajc21	DNAJC21
Trdv1	TRAV34
Sult3a2	SULT1A4
Sult3a2	SULT1A2
Sult3a2	SULT1A1
Mrgpra1	MRGPRX3
Mrgpra1	MRGPRX4
Olfr1360	OR2B2
Slc6a3	SLC6A3
Kcnab2	KCNAB2
Ngf	NGF
Trabd	TRABD
Ripply3	RIPPLY3
Zfp628	ZNF628
Trav16	TRAV19
Ube2v2	UBE2V2
Rcn2	RCN2
Pdha1	PDHA1
Smarcb1	SMARCB1
Adamdec1	ADAMDEC1
Sult2a1	SULT2A1
Mycbpap	MYCBPAP
Apc2	APC2
Defa24	DEFA6
Defa24	DEFA5
Ints1	INTS1
Dmrt1	DMRT1
Upk1b	UPK1B
Myh15	MYH15
Naa38	NAA38
Gpx4	GPX4
Trav14n-3	TRAV23DV6
Dsp	DSP
Dbn1	DBN1
Ccin	CCIN
Zfp541	ZNF541
Oxr1	OXR1
Gk5	GK5
Cox10	COX10
Kcnab3	KCNAB3
H2-DMa	HLA-DMA
Olfr354	OR1N2
4930432K21Rik	C19orf57
Slc25a20	SLC25A20
Birc2	BIRC2
Zbtb8b	ZBTB8B
Grid2ip	GRID2IP
Chrnb1	CHRNB1
Sh2d5	SH2D5
Hcrtr2	HCRTR2
Adgrl3	ADGRL3
Dlx5	DLX5
Nadk	NADK
Rrm2b	RRM2B
Trav13-4-dv7	TRAV22
Ets2	ETS2
Coq8b	COQ8B
Zfp592	ZNF592
Atp1b3	ATP1B3
Cyp2r1	CYP2R1
Ccdc6	CCDC6
Cttn	CTTN
Ifna2	IFNA21
Ifna2	IFNA4
Manea	MANEA
Mdga1	MDGA1
Gja10	GJA10
Mab21l3	MAB21L3
Rgs9bp	RGS9BP
Fabp9	FABP9
B3gnt3	B3GNT3
Prdm11	PRDM11
Gm44973	ZNF524
2010005H15Rik	CSTA
Scn10a	SCN10A
Xrn1	XRN1
Ltb	LTB
Fstl4	FSTL4
Dcdc2a	DCDC2
Chad	CHAD
Pkp3	PKP3
Nanos3	NANOS3
Tnmd	TNMD
Cntd1	CNTD1
Rad17	RAD17
Astn2	ASTN2
Flywch1	FLYWCH1
Bbs7	BBS7
Rars2	RARS2
Fbxo7	FBXO7
Art1	ART1
Cc2d1a	CC2D1A
Rnf183	RNF183
Tbl1x	TBL1Y
Iffo1	IFFO1
Fam221b	FAM221B
Gm11273	COX5B
B4galt6	B4GALT6
Tgs1	TGS1
Phf1	PHF1
BC030867	C17orf53
Usp9x	USP9X
Ppp2r3a	PPP2R3A
Donson	DONSON
Haao	HAAO
Trim71	TRIM71
Prr23a1	PRR23D1
Crlf1	CRLF1
Lzts3	LZTS3
Gemin2	GEMIN2
Defa3	DEFA6
Defa3	DEFA5
Slc36a4	SLC36A4
Gm3839	GAPDH
Trappc10	TRAPPC10
Fam187b	FAM187B
Mustn1	MUSTN1
Anks6	ANKS6
Pspn	PSPN
Pstpip1	PSTPIP1
Faap24	FAAP24
Arl14	ARL14
Fscn1	FSCN1
Taar8a	TAAR8
Asna1	ASNA1
Znfx1	ZNFX1
2310011J03Rik	C19orf25
Ctu1	CTU1
Panx1	PANX1
Kcng3	KCNG3
Tgm3	TGM3
Ndufv2	NDUFV2
Slit3	SLIT3
Spp1	SPP1
Kcnh6	KCNH6
Dkk3	DKK3
Gpr20	GPR20
A1cf	A1CF
P3h2	P3H2
Als2cl	ALS2CL
Rrp9	RRP9
Aldh1a3	ALDH1A3
Itih3	ITIH3
Thtpa	THTPA
Osbp	OSBP
Hc	C5
Tmem88	TMEM88
Spag11a	SPAG11B
Rapgefl1	RAPGEFL1
Pi15	PI15
Elfn1	ELFN1
Rela	RELA
Grb7	GRB7
1700028P14Rik	C9orf135
Abhd17a	ABHD17A
Dtx3l	DTX3L
Sgsm1	SGSM1
Prr15	PRR15
Trav13-1	TRAV22
Tmprss11e	TMPRSS11E
1110012L19Rik	CXorf40B
Adgrb2	ADGRB2
Ropn1	ROPN1B
Adam32	ADAM32
Kxd1	KXD1
Defb22	DEFB134
Defb22	DEFB104B
Znrd1	ZNRD1
Tmub2	TMUB2
Slc25a31	SLC25A31
Gm28539	C22orf39
Large1	LARGE1
Ces1g	CES1
Pbx2	PBX2
Pla2g4d	PLA2G4D
Man2a2	MAN2A2
Rhno1	RHNO1
Dlec1	DLEC1
Greb1	GREB1
Fbxw10	FBXW10
Cyp2d22	CYP2D6
Thap1	THAP1
Ints2	INTS2
Ehd4	EHD4
Lhfp	LHFPL6
Gm7861	DEFA6
Gm7861	DEFA5
Fam160a2	FAM160A2
Eef2kmt	FAM86B1
Eef2kmt	FAM86B2
Rgma	RGMA
Mri1	MRI1
Gabrd	GABRD
Cish	CISH
Zkscan8	ZKSCAN8
Nfkbil1	NFKBIL1
